timestamp,cpu_temperature_c,cpu_power_w,power_source
2026-07-28T11:11:36+00:00,56.250,,
2026-07-28T11:11:37+00:00,56.625,,
2026-07-28T11:11:38+00:00,56.125,,
2026-07-28T11:11:39+00:00,56.500,,
2026-07-28T11:11:40+00:00,57.000,,
2026-07-28T11:11:41+00:00,57.250,,
2026-07-28T11:11:42+00:00,57.500,,
2026-07-28T11:11:43+00:00,57.625,,
2026-07-28T11:11:44+00:00,57.625,,
2026-07-28T11:11:45+00:00,57.750,,
2026-07-28T11:11:46+00:00,57.875,,
2026-07-28T11:11:47+00:00,57.875,,
2026-07-28T11:11:48+00:00,57.875,,
2026-07-28T11:11:49+00:00,58.000,,
2026-07-28T11:11:50+00:00,58.000,,
2026-07-28T11:11:51+00:00,58.000,,
2026-07-28T11:11:52+00:00,58.125,,
2026-07-28T11:11:53+00:00,58.125,,
2026-07-28T11:11:54+00:00,58.125,,
2026-07-28T11:11:55+00:00,58.250,,
2026-07-28T11:11:56+00:00,58.250,,
2026-07-28T11:11:57+00:00,58.250,,
2026-07-28T11:11:58+00:00,58.250,,
2026-07-28T11:11:59+00:00,58.250,,
2026-07-28T11:12:00+00:00,58.375,,
2026-07-28T11:12:01+00:00,58.250,,
2026-07-28T11:12:02+00:00,58.375,,
2026-07-28T11:12:03+00:00,58.375,,
2026-07-28T11:12:04+00:00,58.375,,
2026-07-28T11:12:05+00:00,58.500,,
2026-07-28T11:12:06+00:00,58.500,,
2026-07-28T11:12:07+00:00,58.500,,
2026-07-28T11:12:08+00:00,58.500,,
2026-07-28T11:12:09+00:00,58.500,,
2026-07-28T11:12:10+00:00,58.500,,
2026-07-28T11:12:11+00:00,58.500,,
2026-07-28T11:12:12+00:00,58.500,,
2026-07-28T11:12:13+00:00,58.500,,
2026-07-28T11:12:14+00:00,58.500,,
2026-07-28T11:12:15+00:00,58.375,,
2026-07-28T11:12:16+00:00,58.375,,
2026-07-28T11:12:17+00:00,58.500,,
2026-07-28T11:12:18+00:00,58.500,,
2026-07-28T11:12:19+00:00,58.500,,
2026-07-28T11:12:21+00:00,58.500,,
2026-07-28T11:12:22+00:00,58.500,,
2026-07-28T11:12:23+00:00,58.625,,
2026-07-28T11:12:24+00:00,58.625,,
2026-07-28T11:12:25+00:00,58.625,,
2026-07-28T11:12:26+00:00,58.625,,
2026-07-28T11:12:27+00:00,58.625,,
2026-07-28T11:12:28+00:00,58.625,,
2026-07-28T11:12:29+00:00,58.625,,
2026-07-28T11:12:30+00:00,58.750,,
2026-07-28T11:12:31+00:00,58.750,,
2026-07-28T11:12:32+00:00,58.750,,
2026-07-28T11:12:33+00:00,58.875,,
2026-07-28T11:12:34+00:00,58.875,,
2026-07-28T11:12:35+00:00,58.875,,
2026-07-28T11:12:36+00:00,58.875,,
2026-07-28T11:12:37+00:00,58.875,,
2026-07-28T11:12:38+00:00,58.875,,
2026-07-28T11:12:39+00:00,58.875,,
2026-07-28T11:12:40+00:00,58.875,,
2026-07-28T11:12:41+00:00,58.875,,
2026-07-28T11:12:42+00:00,59.000,,
2026-07-28T11:12:43+00:00,59.000,,
2026-07-28T11:12:44+00:00,59.000,,
2026-07-28T11:12:45+00:00,59.000,,
2026-07-28T11:12:46+00:00,59.000,,
2026-07-28T11:12:47+00:00,59.000,,
2026-07-28T11:12:48+00:00,59.000,,
2026-07-28T11:12:49+00:00,59.125,,
2026-07-28T11:12:50+00:00,59.125,,
2026-07-28T11:12:51+00:00,59.125,,
2026-07-28T11:12:52+00:00,59.125,,
2026-07-28T11:12:53+00:00,59.125,,
2026-07-28T11:12:54+00:00,59.125,,
2026-07-28T11:12:55+00:00,59.125,,
2026-07-28T11:12:56+00:00,59.125,,
2026-07-28T11:12:57+00:00,59.125,,
2026-07-28T11:12:58+00:00,59.125,,
2026-07-28T11:12:59+00:00,59.000,,
2026-07-28T11:13:00+00:00,59.000,,
2026-07-28T11:13:01+00:00,59.000,,
2026-07-28T11:13:02+00:00,59.000,,
2026-07-28T11:13:03+00:00,59.000,,
2026-07-28T11:13:04+00:00,59.000,,
2026-07-28T11:13:05+00:00,59.000,,
2026-07-28T11:13:06+00:00,59.000,,
2026-07-28T11:13:07+00:00,59.000,,
2026-07-28T11:13:08+00:00,59.000,,
