timestamp,cpu_temperature_c,cpu_power_w,power_source
2026-07-28T02:03:53+00:00,49.750,,
2026-07-28T02:03:54+00:00,50.500,,
2026-07-28T02:03:55+00:00,50.250,,
2026-07-28T02:03:56+00:00,51.250,,
2026-07-28T02:03:57+00:00,52.000,,
2026-07-28T02:03:58+00:00,52.500,,
2026-07-28T02:03:59+00:00,52.875,,
2026-07-28T02:04:00+00:00,53.125,,
2026-07-28T02:04:01+00:00,53.125,,
2026-07-28T02:04:02+00:00,53.250,,
2026-07-28T02:04:03+00:00,53.250,,
2026-07-28T02:04:04+00:00,53.375,,
2026-07-28T02:04:05+00:00,53.375,,
2026-07-28T02:04:06+00:00,53.500,,
2026-07-28T02:04:07+00:00,53.500,,
2026-07-28T02:04:08+00:00,53.500,,
2026-07-28T02:04:09+00:00,53.500,,
2026-07-28T02:04:10+00:00,53.500,,
2026-07-28T02:04:11+00:00,53.500,,
2026-07-28T02:04:12+00:00,53.625,,
2026-07-28T02:04:13+00:00,53.625,,
2026-07-28T02:04:14+00:00,53.500,,
2026-07-28T02:04:15+00:00,53.375,,
2026-07-28T02:04:16+00:00,53.000,,
2026-07-28T02:04:17+00:00,52.625,,
2026-07-28T02:04:18+00:00,52.375,,
2026-07-28T02:04:19+00:00,52.125,,
2026-07-28T02:04:20+00:00,51.875,,
2026-07-28T02:04:21+00:00,51.625,,
2026-07-28T02:04:22+00:00,51.500,,
2026-07-28T02:04:23+00:00,51.250,,
2026-07-28T02:04:24+00:00,51.125,,
2026-07-28T02:04:25+00:00,51.000,,
2026-07-28T02:04:26+00:00,50.875,,
2026-07-28T02:04:27+00:00,50.750,,
2026-07-28T02:04:28+00:00,50.625,,
2026-07-28T02:04:29+00:00,50.500,,
2026-07-28T02:04:30+00:00,50.375,,
2026-07-28T02:04:31+00:00,50.375,,
2026-07-28T02:04:32+00:00,50.250,,
2026-07-28T02:04:33+00:00,50.250,,
2026-07-28T02:04:34+00:00,50.125,,
2026-07-28T02:04:35+00:00,50.125,,
2026-07-28T02:04:36+00:00,50.125,,
2026-07-28T02:04:37+00:00,50.125,,
2026-07-28T02:04:38+00:00,50.125,,
2026-07-28T02:04:39+00:00,50.125,,
2026-07-28T02:04:40+00:00,50.000,,
2026-07-28T02:04:41+00:00,50.000,,
2026-07-28T02:04:42+00:00,50.000,,
2026-07-28T02:04:43+00:00,50.000,,
2026-07-28T02:04:44+00:00,50.000,,
2026-07-28T02:04:45+00:00,50.000,,
2026-07-28T02:04:46+00:00,50.000,,
2026-07-28T02:04:47+00:00,50.000,,
2026-07-28T02:04:48+00:00,49.875,,
2026-07-28T02:04:49+00:00,49.875,,
2026-07-28T02:04:51+00:00,50.000,,
2026-07-28T02:04:52+00:00,50.000,,
2026-07-28T02:04:53+00:00,50.000,,
2026-07-28T02:04:54+00:00,50.000,,
2026-07-28T02:04:55+00:00,50.000,,
2026-07-28T02:04:56+00:00,50.000,,
2026-07-28T02:04:57+00:00,50.000,,
2026-07-28T02:04:58+00:00,50.000,,
2026-07-28T02:04:59+00:00,50.000,,
2026-07-28T02:05:00+00:00,50.000,,
2026-07-28T02:05:01+00:00,50.000,,
2026-07-28T02:05:02+00:00,50.000,,
2026-07-28T02:05:03+00:00,50.000,,
2026-07-28T02:05:04+00:00,50.125,,
2026-07-28T02:05:05+00:00,50.125,,
2026-07-28T02:05:06+00:00,50.125,,
2026-07-28T02:05:07+00:00,50.125,,
2026-07-28T02:05:08+00:00,50.125,,
2026-07-28T02:05:09+00:00,50.125,,
2026-07-28T02:05:10+00:00,50.125,,
2026-07-28T02:05:11+00:00,50.125,,
2026-07-28T02:05:12+00:00,50.125,,
2026-07-28T02:05:13+00:00,50.125,,
2026-07-28T02:05:14+00:00,50.125,,
2026-07-28T02:05:15+00:00,50.125,,
2026-07-28T02:05:16+00:00,50.125,,
2026-07-28T02:05:17+00:00,50.125,,
2026-07-28T02:05:18+00:00,50.125,,
2026-07-28T02:05:19+00:00,50.125,,
2026-07-28T02:05:20+00:00,50.125,,
2026-07-28T02:05:21+00:00,50.125,,
2026-07-28T02:05:22+00:00,50.125,,
2026-07-28T02:05:23+00:00,50.125,,
2026-07-28T02:05:24+00:00,50.125,,
2026-07-28T02:05:25+00:00,50.125,,
2026-07-28T02:05:26+00:00,50.000,,
2026-07-28T02:05:27+00:00,50.125,,
2026-07-28T02:05:28+00:00,50.000,,
2026-07-28T02:05:29+00:00,50.000,,
2026-07-28T02:05:30+00:00,50.000,,
2026-07-28T02:05:31+00:00,50.000,,
2026-07-28T02:05:32+00:00,50.000,,
2026-07-28T02:05:33+00:00,50.000,,
2026-07-28T02:05:34+00:00,50.000,,
2026-07-28T02:05:35+00:00,50.000,,
2026-07-28T02:05:36+00:00,50.000,,
2026-07-28T02:05:37+00:00,50.125,,
2026-07-28T02:05:38+00:00,50.125,,
2026-07-28T02:05:39+00:00,50.000,,
2026-07-28T02:05:40+00:00,50.000,,
2026-07-28T02:05:41+00:00,50.125,,
2026-07-28T02:05:42+00:00,50.125,,
2026-07-28T02:05:43+00:00,50.125,,
2026-07-28T02:05:44+00:00,50.125,,
2026-07-28T02:05:45+00:00,50.125,,
2026-07-28T02:05:46+00:00,50.125,,
2026-07-28T02:05:47+00:00,50.125,,
2026-07-28T02:05:48+00:00,50.125,,
2026-07-28T02:05:49+00:00,50.125,,
2026-07-28T02:05:50+00:00,50.125,,
2026-07-28T02:05:52+00:00,50.125,,
2026-07-28T02:05:53+00:00,50.125,,
2026-07-28T02:05:54+00:00,50.125,,
2026-07-28T02:05:55+00:00,50.125,,
2026-07-28T02:05:56+00:00,50.125,,
2026-07-28T02:05:57+00:00,50.125,,
2026-07-28T02:05:58+00:00,50.125,,
2026-07-28T02:05:59+00:00,50.125,,
2026-07-28T02:06:00+00:00,50.125,,
2026-07-28T02:06:01+00:00,50.125,,
2026-07-28T02:06:02+00:00,50.125,,
2026-07-28T02:06:03+00:00,50.125,,
2026-07-28T02:06:04+00:00,50.125,,
2026-07-28T02:06:05+00:00,50.125,,
2026-07-28T02:06:06+00:00,50.125,,
2026-07-28T02:06:07+00:00,50.125,,
2026-07-28T02:06:08+00:00,50.125,,
2026-07-28T02:06:09+00:00,50.125,,
2026-07-28T02:06:10+00:00,50.125,,
2026-07-28T02:06:11+00:00,50.125,,
2026-07-28T02:06:12+00:00,50.125,,
2026-07-28T02:06:13+00:00,50.125,,
2026-07-28T02:06:14+00:00,50.125,,
2026-07-28T02:06:15+00:00,50.125,,
2026-07-28T02:06:16+00:00,50.125,,
2026-07-28T02:06:17+00:00,50.125,,
2026-07-28T02:06:18+00:00,50.125,,
2026-07-28T02:06:19+00:00,50.125,,
2026-07-28T02:06:20+00:00,50.125,,
2026-07-28T02:06:21+00:00,50.125,,
2026-07-28T02:06:22+00:00,50.125,,
2026-07-28T02:06:23+00:00,50.250,,
2026-07-28T02:06:24+00:00,50.125,,
2026-07-28T02:06:25+00:00,50.125,,
2026-07-28T02:06:26+00:00,50.125,,
2026-07-28T02:06:27+00:00,50.125,,
2026-07-28T02:06:28+00:00,50.125,,
2026-07-28T02:06:29+00:00,50.125,,
2026-07-28T02:06:30+00:00,50.125,,
2026-07-28T02:06:31+00:00,50.125,,
2026-07-28T02:06:32+00:00,50.000,,
2026-07-28T02:06:33+00:00,50.000,,
2026-07-28T02:06:34+00:00,50.000,,
2026-07-28T02:06:35+00:00,50.125,,
2026-07-28T02:06:36+00:00,50.125,,
2026-07-28T02:06:37+00:00,50.000,,
2026-07-28T02:06:38+00:00,50.125,,
2026-07-28T02:06:39+00:00,50.125,,
2026-07-28T02:06:40+00:00,50.000,,
2026-07-28T02:06:41+00:00,50.125,,
2026-07-28T02:06:42+00:00,50.125,,
2026-07-28T02:06:43+00:00,50.125,,
2026-07-28T02:06:44+00:00,50.125,,
2026-07-28T02:06:45+00:00,50.125,,
2026-07-28T02:06:46+00:00,50.125,,
2026-07-28T02:06:47+00:00,50.125,,
2026-07-28T02:06:48+00:00,50.125,,
2026-07-28T02:06:49+00:00,50.125,,
2026-07-28T02:06:50+00:00,50.000,,
2026-07-28T02:06:51+00:00,50.000,,
2026-07-28T02:06:53+00:00,50.000,,
2026-07-28T02:06:54+00:00,50.000,,
2026-07-28T02:06:55+00:00,50.000,,
2026-07-28T02:06:56+00:00,50.125,,
2026-07-28T02:06:57+00:00,50.000,,
2026-07-28T02:06:58+00:00,50.125,,
2026-07-28T02:06:59+00:00,50.125,,
2026-07-28T02:07:00+00:00,50.125,,
2026-07-28T02:07:01+00:00,50.125,,
2026-07-28T02:07:02+00:00,50.125,,
2026-07-28T02:07:03+00:00,50.125,,
2026-07-28T02:07:04+00:00,50.125,,
2026-07-28T02:07:05+00:00,50.125,,
2026-07-28T02:07:06+00:00,50.125,,
2026-07-28T02:07:07+00:00,50.250,,
2026-07-28T02:07:08+00:00,50.250,,
2026-07-28T02:07:09+00:00,50.125,,
2026-07-28T02:07:10+00:00,50.125,,
2026-07-28T02:07:11+00:00,50.125,,
2026-07-28T02:07:12+00:00,50.125,,
2026-07-28T02:07:13+00:00,50.125,,
2026-07-28T02:07:14+00:00,50.125,,
2026-07-28T02:07:15+00:00,50.125,,
2026-07-28T02:07:16+00:00,50.125,,
2026-07-28T02:07:17+00:00,50.125,,
2026-07-28T02:07:18+00:00,50.125,,
2026-07-28T02:07:19+00:00,50.125,,
2026-07-28T02:07:20+00:00,50.125,,
2026-07-28T02:07:21+00:00,50.125,,
