timestamp,cpu_temperature_c,cpu_power_w,power_source
2026-07-28T11:09:47+00:00,55.625,,
2026-07-28T11:09:48+00:00,55.750,,
2026-07-28T11:09:49+00:00,55.250,,
2026-07-28T11:09:50+00:00,55.750,,
2026-07-28T11:09:51+00:00,56.250,,
2026-07-28T11:09:52+00:00,56.500,,
2026-07-28T11:09:53+00:00,56.625,,
2026-07-28T11:09:54+00:00,56.875,,
2026-07-28T11:09:55+00:00,57.000,,
2026-07-28T11:09:56+00:00,57.125,,
2026-07-28T11:09:57+00:00,57.250,,
2026-07-28T11:09:58+00:00,57.250,,
2026-07-28T11:09:59+00:00,57.250,,
2026-07-28T11:10:00+00:00,57.250,,
2026-07-28T11:10:01+00:00,57.250,,
2026-07-28T11:10:02+00:00,57.375,,
2026-07-28T11:10:03+00:00,57.375,,
2026-07-28T11:10:05+00:00,57.375,,
2026-07-28T11:10:06+00:00,57.375,,
2026-07-28T11:10:07+00:00,57.375,,
2026-07-28T11:10:08+00:00,57.375,,
2026-07-28T11:10:09+00:00,57.375,,
2026-07-28T11:10:10+00:00,57.375,,
2026-07-28T11:10:11+00:00,57.375,,
2026-07-28T11:10:12+00:00,57.375,,
2026-07-28T11:10:13+00:00,57.375,,
2026-07-28T11:10:14+00:00,57.375,,
2026-07-28T11:10:15+00:00,57.375,,
2026-07-28T11:10:16+00:00,57.375,,
2026-07-28T11:10:17+00:00,57.500,,
2026-07-28T11:10:18+00:00,57.500,,
2026-07-28T11:10:19+00:00,57.500,,
2026-07-28T11:10:20+00:00,57.500,,
2026-07-28T11:10:21+00:00,57.500,,
2026-07-28T11:10:22+00:00,57.500,,
2026-07-28T11:10:23+00:00,57.625,,
2026-07-28T11:10:24+00:00,57.625,,
2026-07-28T11:10:25+00:00,57.625,,
2026-07-28T11:10:26+00:00,57.500,,
2026-07-28T11:10:27+00:00,57.500,,
2026-07-28T11:10:28+00:00,57.500,,
2026-07-28T11:10:29+00:00,57.500,,
2026-07-28T11:10:30+00:00,57.500,,
2026-07-28T11:10:31+00:00,57.500,,
2026-07-28T11:10:32+00:00,57.500,,
2026-07-28T11:10:33+00:00,57.500,,
2026-07-28T11:10:34+00:00,57.625,,
2026-07-28T11:10:35+00:00,57.500,,
2026-07-28T11:10:36+00:00,57.625,,
2026-07-28T11:10:37+00:00,57.625,,
2026-07-28T11:10:38+00:00,57.625,,
2026-07-28T11:10:39+00:00,57.625,,
2026-07-28T11:10:40+00:00,57.625,,
2026-07-28T11:10:41+00:00,57.625,,
2026-07-28T11:10:42+00:00,57.625,,
2026-07-28T11:10:43+00:00,57.625,,
2026-07-28T11:10:44+00:00,57.750,,
2026-07-28T11:10:45+00:00,57.750,,
2026-07-28T11:10:46+00:00,57.750,,
2026-07-28T11:10:47+00:00,57.750,,
2026-07-28T11:10:48+00:00,57.750,,
2026-07-28T11:10:49+00:00,57.750,,
2026-07-28T11:10:50+00:00,57.750,,
2026-07-28T11:10:51+00:00,57.750,,
2026-07-28T11:10:52+00:00,57.750,,
2026-07-28T11:10:53+00:00,57.750,,
2026-07-28T11:10:54+00:00,57.750,,
2026-07-28T11:10:55+00:00,57.750,,
2026-07-28T11:10:56+00:00,57.875,,
2026-07-28T11:10:57+00:00,57.750,,
2026-07-28T11:10:58+00:00,57.875,,
2026-07-28T11:10:59+00:00,57.875,,
2026-07-28T11:11:00+00:00,57.875,,
2026-07-28T11:11:01+00:00,57.875,,
2026-07-28T11:11:02+00:00,57.875,,
2026-07-28T11:11:03+00:00,58.000,,
2026-07-28T11:11:04+00:00,58.000,,
2026-07-28T11:11:05+00:00,58.000,,
2026-07-28T11:11:06+00:00,58.125,,
2026-07-28T11:11:07+00:00,58.125,,
2026-07-28T11:11:08+00:00,58.125,,
2026-07-28T11:11:10+00:00,58.000,,
2026-07-28T11:11:11+00:00,58.000,,
2026-07-28T11:11:12+00:00,58.000,,
2026-07-28T11:11:13+00:00,58.125,,
2026-07-28T11:11:14+00:00,58.125,,
2026-07-28T11:11:15+00:00,58.125,,
2026-07-28T11:11:16+00:00,58.125,,
2026-07-28T11:11:17+00:00,58.125,,
2026-07-28T11:11:18+00:00,58.125,,
2026-07-28T11:11:19+00:00,58.250,,
2026-07-28T11:11:20+00:00,58.250,,
2026-07-28T11:11:21+00:00,58.250,,
2026-07-28T11:11:22+00:00,58.125,,
2026-07-28T11:11:23+00:00,58.125,,
2026-07-28T11:11:24+00:00,58.250,,
2026-07-28T11:11:25+00:00,58.250,,
2026-07-28T11:11:26+00:00,58.250,,
2026-07-28T11:11:27+00:00,58.250,,
2026-07-28T11:11:28+00:00,58.250,,
2026-07-28T11:11:29+00:00,58.250,,
2026-07-28T11:11:30+00:00,58.250,,
2026-07-28T11:11:31+00:00,58.375,,
2026-07-28T11:11:32+00:00,58.375,,
2026-07-28T11:11:33+00:00,58.375,,
